Category,pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nport,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.interactive_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous
180solutions,43,17,9.186046512,0,194.9534884,1576,36.65116279,8383,194.9534884,0,665,2924,46,725,699,107,607,116,179,255,49,91,49,0.03068253,0.056981841,0.03068253,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.093023256,0.046511628,0.139534884,138,389,221,26,24,116,0,119,87,0
180solutions,43,17,9.162790698,0,194.6976744,1576,36.65116279,8372,194.6976744,0,667,2925,46,725,694,107,607,116,179,255,49,91,49,0.030721003,0.057053292,0.030721003,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.093023256,0.046511628,0.139534884,138,389,221,26,24,116,0,119,87,0
180solutions,42,17,9.071428571,0,194.5952381,1529,36.4047619,8173,194.5952381,0,655,2874,45,714,666,101,603,113,164,233,47,88,47,0.030401035,0.056921087,0.030401035,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.095238095,0.047619048,0.142857143,138,389,221,26,24,116,0,119,87,0
180solutions,22,8,16.5,0,238.9090909,919,41.77272727,5256,238.9090909,0,413,1677,23,331,602,61,372,85,69,170,19,40,19,0.020277481,0.042689434,0.020277481,1,1,6,1.0,0,0,0,0,4,2,4,0.0,0.0,0.0,0.0,0.181818182,0.090909091,0.181818182,137,385,220,26,23,114,0,113,88,0
180solutions,29,10,12.37931034,0,256.7586207,1316,45.37931034,7446,256.7586207,0,545,2635,32,582,631,79,606,112,147,240,31,59,31,0.023031204,0.043833581,0.023031204,2,2,12,1.0,1,0,1,1,5,3,7,0.033333333,0.0,0.033333333,0.033333333,0.166666667,0.1,0.233333333,138,389,221,26,24,116,0,117,88,0
180solutions,22,8,16.36363636,0,241.9545455,924,42.0,5323,241.9545455,0,480,1674,23,331,604,61,372,85,70,170,19,40,19,0.020169851,0.042462845,0.020169851,1,1,6,1.0,1,0,1,1,5,3,5,0.043478261,0.0,0.043478261,0.043478261,0.217391304,0.130434783,0.217391304,137,385,220,26,23,114,0,113,88,0
180solutions,22,8,16.45454545,0,242.9545455,926,42.09090909,5345,242.9545455,0,482,1693,23,339,607,61,372,85,70,170,20,41,20,0.021164021,0.043386243,0.021164021,1,1,6,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.181818182,0.090909091,0.227272727,137,385,220,26,23,114,0,113,88,0
180solutions,22,8,15.09090909,0,235.3181818,926,42.09090909,5177,235.3181818,0,473,1653,23,339,567,61,372,85,70,170,20,41,20,0.021164021,0.043386243,0.021164021,1,1,6,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.181818182,0.090909091,0.227272727,137,385,220,26,23,114,0,113,88,0
180solutions,22,8,13.31818182,0,227.3181818,926,42.09090909,5001,227.3181818,0,473,1589,23,339,461,61,372,85,70,170,20,41,20,0.021164021,0.043386243,0.021164021,1,1,6,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.181818182,0.090909091,0.227272727,137,385,220,26,23,114,0,113,88,0
180solutions,22,8,13.59090909,0,232.2727273,929,42.22727273,5110,232.2727273,0,477,1672,23,342,479,61,372,85,72,170,21,42,21,0.022128556,0.044257113,0.022128556,1,1,6,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.181818182,0.090909091,0.227272727,137,385,220,26,23,114,0,113,88,0
180solutions,24,8,14.125,0,252.9166667,1081,45.04166667,6070,252.9166667,0,505,2046,25,415,573,65,473,95,83,199,23,46,23,0.020852221,0.041704442,0.020852221,1,1,6,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.166666667,0.083333333,0.208333333,138,389,221,26,24,116,0,116,88,0
180solutions,24,8,13.66666667,0,250.1666667,1081,45.04166667,6004,250.1666667,0,504,2015,25,415,548,65,473,95,83,199,23,46,23,0.020852221,0.041704442,0.020852221,1,1,6,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.166666667,0.083333333,0.208333333,138,389,221,26,24,116,0,116,88,0
180solutions,28,10,13.21428571,0,262.7142857,1270,45.35714286,7356,262.7142857,0,536,2626,31,570,647,73,602,109,129,218,29,56,29,0.022342065,0.043143297,0.022342065,2,2,12,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.142857143,0.071428571,0.178571429,138,389,221,26,24,116,0,117,88,0
180solutions,42,16,10.76190476,0,209.2380952,1621,38.5952381,8788,209.2380952,0,667,3060,45,679,840,105,648,120,178,261,51,92,51,0.030520646,0.055056852,0.030520646,4,4,24,1.0,3,0,3,3,7,5,9,0.066666667,0.0,0.066666667,0.066666667,0.155555556,0.111111111,0.2,138,389,221,26,24,116,0,122,87,0
180solutions,40,16,9.525,0,204.1,1504,37.6,8164,204.1,0,651,2870,43,691,704,98,602,113,163,232,46,85,46,0.03030303,0.05599473,0.03030303,4,4,24,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,389,221,26,24,116,0,119,87,0
180solutions,42,16,10.11904762,0,206.4761905,1610,38.33333333,8672,206.4761905,0,667,3026,45,679,791,105,642,120,178,261,51,92,51,0.030722892,0.055421687,0.030722892,4,4,24,1.0,2,0,2,2,6,4,8,0.045454545,0.0,0.045454545,0.045454545,0.136363636,0.090909091,0.181818182,138,389,221,26,24,116,0,122,87,0
180solutions,44,17,9.545454545,0,200.25,1673,38.02272727,8811,200.25,0,670,3069,47,693,775,109,651,126,182,269,50,93,50,0.029036005,0.054006969,0.029036005,4,4,24,1.0,2,0,2,2,6,4,8,0.043478261,0.0,0.043478261,0.043478261,0.130434783,0.086956522,0.173913043,138,389,221,26,24,116,0,122,87,0
180solutions,43,17,9.325581395,0,198.627907,1615,37.55813953,8541,198.627907,0,667,2983,46,688,728,107,614,123,179,264,49,91,49,0.029500301,0.054786273,0.029500301,4,4,24,1.0,3,0,3,3,7,5,9,0.065217391,0.0,0.065217391,0.065217391,0.152173913,0.108695652,0.195652174,138,389,221,26,24,116,0,122,87,0
180solutions,43,17,9.279069767,0,198.4186047,1615,37.55813953,8532,198.4186047,0,667,2977,46,688,725,107,614,123,179,264,49,91,49,0.029589372,0.054951691,0.029589372,4,4,24,1.0,3,0,3,3,7,5,9,0.065217391,0.0,0.065217391,0.065217391,0.152173913,0.108695652,0.195652174,138,389,221,26,24,116,0,122,87,0
180solutions,42,16,9.333333333,0,200.047619,1580,37.61904762,8402,200.047619,0,665,2939,45,683,716,106,606,119,178,259,48,90,48,0.029721362,0.055727554,0.029721362,4,4,24,1.0,4,0,4,4,8,6,10,0.086956522,0.0,0.086956522,0.086956522,0.173913043,0.130434783,0.217391304,138,389,221,26,24,116,0,121,87,0
180solutions,41,16,9.463414634,0,203.5609756,1549,37.7804878,8346,203.5609756,0,661,2913,44,702,713,104,606,116,177,252,48,88,48,0.03051494,0.055944056,0.03051494,4,4,24,1.0,3,0,3,3,7,5,9,0.068181818,0.0,0.068181818,0.068181818,0.159090909,0.113636364,0.204545455,138,389,221,26,24,116,0,119,87,0
180solutions,41,16,9.585365854,0,203.8292683,1551,37.82926829,8357,203.8292683,0,665,2909,44,702,721,104,606,116,178,254,48,88,48,0.030573248,0.056050955,0.030573248,4,4,24,1.0,2,0,2,2,6,4,8,0.046511628,0.0,0.046511628,0.046511628,0.139534884,0.093023256,0.186046512,138,389,221,26,24,116,0,119,87,0
180solutions,41,16,9.585365854,0,203.7804878,1551,37.82926829,8355,203.7804878,0,665,2917,44,702,726,104,606,116,178,254,48,88,48,0.030612245,0.056122449,0.030612245,4,4,24,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.097560976,0.048780488,0.146341463,138,389,221,26,24,116,0,119,87,0
180solutions,39,15,11.43589744,0,220.6410256,1563,40.07692308,8605,220.6410256,0,642,3002,42,656,829,99,640,120,177,259,47,85,47,0.02921069,0.052827843,0.02921069,3,3,18,1.0,4,0,4,4,8,6,10,0.093023256,0.0,0.093023256,0.093023256,0.186046512,0.139534884,0.23255814,138,389,221,26,24,116,0,122,86,0
180solutions,37,15,10.13513514,0,214.8108108,1446,39.08108108,7948,214.8108108,0,626,2812,40,668,663,92,594,113,161,230,42,78,42,0.028846154,0.053571429,0.028846154,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.108108108,0.054054054,0.162162162,138,389,221,26,24,116,0,119,86,0
180solutions,39,15,10.74358974,0,217.5897436,1552,39.79487179,8486,217.5897436,0,642,2968,42,656,777,99,634,120,177,259,47,85,47,0.029411765,0.053191489,0.029411765,3,3,18,1.0,4,0,4,4,8,6,10,0.093023256,0.0,0.093023256,0.093023256,0.186046512,0.139534884,0.23255814,138,389,221,26,24,116,0,122,86,0
180solutions,41,16,10.12195122,0,210.2439024,1615,39.3902439,8620,210.2439024,0,645,3011,44,670,759,103,643,126,181,267,46,86,46,0.027710843,0.051807229,0.027710843,3,3,18,1.0,3,0,3,3,7,5,9,0.068181818,0.0,0.068181818,0.068181818,0.159090909,0.113636364,0.204545455,138,389,221,26,24,116,0,122,86,0
180solutions,40,16,9.875,0,208.725,1557,38.925,8349,208.725,0,642,2926,43,665,707,101,606,123,178,262,45,84,45,0.028142589,0.052532833,0.028142589,3,3,18,1.0,4,0,4,4,8,6,10,0.090909091,0.0,0.090909091,0.090909091,0.181818182,0.136363636,0.227272727,138,389,221,26,24,116,0,122,86,0
180solutions,40,16,9.825,0,208.525,1557,38.925,8341,208.525,0,643,2920,43,665,701,101,606,123,178,263,45,84,45,0.028230866,0.052697616,0.028230866,3,3,18,1.0,4,0,4,4,8,6,10,0.090909091,0.0,0.090909091,0.090909091,0.181818182,0.136363636,0.227272727,138,389,221,26,24,116,0,122,86,0
180solutions,39,15,9.974358974,0,210.4871795,1522,39.02564103,8209,210.4871795,0,639,2884,42,660,692,100,598,119,176,257,44,82,44,0.028350515,0.052835052,0.028350515,3,3,18,1.0,6,0,6,6,10,8,12,0.133333333,0.0,0.133333333,0.133333333,0.222222222,0.177777778,0.266666667,138,389,221,26,24,116,0,121,86,0
180solutions,37,15,10.08108108,0,215.2702703,1446,39.08108108,7965,215.2702703,0,624,2814,40,668,662,92,594,113,161,230,42,78,42,0.028688525,0.053278689,0.028688525,3,3,18,1.0,7,0,7,7,11,9,13,0.159090909,0.0,0.159090909,0.159090909,0.25,0.204545455,0.295454545,138,389,221,26,24,116,0,119,86,0
180solutions,37,15,10.16216216,0,215.2702703,1446,39.08108108,7965,215.2702703,0,626,2812,40,668,665,92,594,113,161,230,42,78,42,0.028767123,0.053424658,0.028767123,3,3,18,1.0,3,0,3,3,7,5,9,0.075,0.0,0.075,0.075,0.175,0.125,0.225,138,389,221,26,24,116,0,119,86,0
180solutions,37,15,10.21621622,0,215.4594595,1446,39.08108108,7972,215.4594595,0,629,2821,40,668,670,92,594,113,162,230,42,78,42,0.028826356,0.05353466,0.028826356,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.108108108,0.054054054,0.162162162,138,389,221,26,24,116,0,119,86,0
180solutions,39,15,11.46153846,0,220.8717949,1563,40.07692308,8614,220.8717949,0,641,3006,42,656,835,99,640,120,177,259,47,85,47,0.02921069,0.052827843,0.02921069,3,3,18,1.0,5,0,5,5,9,7,11,0.113636364,0.0,0.113636364,0.113636364,0.204545455,0.159090909,0.25,138,389,221,26,24,116,0,122,87,0
180solutions,37,15,10.16216216,0,214.8108108,1445,39.05405405,7948,214.8108108,0,626,2812,40,668,663,92,594,113,162,230,42,78,42,0.028865979,0.053608247,0.028865979,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.108108108,0.054054054,0.162162162,138,389,221,26,24,116,0,119,87,0
180solutions,39,15,10.76923077,0,217.8205128,1552,39.79487179,8495,217.8205128,0,641,2972,42,656,783,99,634,120,177,259,47,85,47,0.029411765,0.053191489,0.029411765,3,3,18,1.0,5,0,5,5,9,7,11,0.113636364,0.0,0.113636364,0.113636364,0.204545455,0.159090909,0.25,138,389,221,26,24,116,0,122,87,0
180solutions,41,16,10.14634146,0,210.3902439,1615,39.3902439,8626,210.3902439,0,645,3012,44,670,762,103,643,126,181,267,46,86,46,0.027710843,0.051807229,0.027710843,3,3,18,1.0,4,0,4,4,8,6,10,0.088888889,0.0,0.088888889,0.088888889,0.177777778,0.133333333,0.222222222,138,389,221,26,24,116,0,122,87,0
180solutions,40,16,9.875,0,208.725,1557,38.925,8349,208.725,0,642,2925,43,665,708,101,606,123,178,262,45,84,45,0.028142589,0.052532833,0.028142589,3,3,18,1.0,5,0,5,5,9,7,11,0.111111111,0.0,0.111111111,0.111111111,0.2,0.155555556,0.244444444,138,389,221,26,24,116,0,122,87,0
180solutions,40,16,9.825,0,208.475,1557,38.925,8339,208.475,0,642,2920,43,665,703,101,606,123,178,262,45,84,45,0.028230866,0.052697616,0.028230866,3,3,18,1.0,5,0,5,5,9,7,11,0.111111111,0.0,0.111111111,0.111111111,0.2,0.155555556,0.244444444,138,389,221,26,24,116,0,122,87,0
180solutions,39,15,9.897435897,0,210.3589744,1522,39.02564103,8204,210.3589744,0,639,2884,42,660,689,100,598,119,176,257,44,82,44,0.02833226,0.05280103,0.02833226,3,3,18,1.0,6,0,6,6,10,8,12,0.133333333,0.0,0.133333333,0.133333333,0.222222222,0.177777778,0.266666667,138,389,221,26,24,116,0,121,87,0
180solutions,38,15,10.05263158,0,214.3157895,1492,39.26315789,8144,214.3157895,0,635,2857,41,679,682,98,598,116,176,252,44,81,44,0.029081295,0.053536021,0.029081295,3,3,18,1.0,4,0,4,4,8,6,10,0.095238095,0.0,0.095238095,0.095238095,0.19047619,0.142857143,0.238095238,138,389,221,26,24,116,0,119,87,0
180solutions,37,15,10.21621622,0,215.4324324,1445,39.05405405,7971,215.4324324,0,627,2811,40,668,668,92,594,113,161,230,42,78,42,0.02878684,0.053461275,0.02878684,3,3,18,1.0,4,0,4,4,8,6,10,0.097560976,0.0,0.097560976,0.097560976,0.195121951,0.146341463,0.243902439,138,389,221,26,24,116,0,119,87,0
180solutions,37,15,10.21621622,0,215.3513514,1445,39.05405405,7968,215.3513514,0,624,2821,40,668,671,92,594,113,161,230,42,78,42,0.028846154,0.053571429,0.028846154,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.108108108,0.054054054,0.162162162,138,389,221,26,24,116,0,119,87,0
180solutions,42,16,10.80952381,0,211.1904762,1614,38.42857143,8870,211.1904762,0,753,3052,45,680,844,105,650,120,178,261,48,89,48,0.028898254,0.053582179,0.028898254,3,3,18,1.0,1,0,1,1,5,3,7,0.023255814,0.0,0.023255814,0.023255814,0.11627907,0.069767442,0.162790698,138,389,221,26,24,116,0,122,86,0
180solutions,40,16,9.5,0,1069.35,1497,37.425,42774,1069.35,0,35232,2854,43,693,747,98,606,113,163,232,44,83,44,0.029177719,0.055039788,0.029177719,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,389,221,26,24,116,0,119,86,0
180solutions,42,16,10.14285714,0,214.547619,1603,38.16666667,9011,214.547619,0,1019,3015,45,680,789,105,644,120,178,261,48,89,48,0.029090909,0.053939394,0.029090909,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.095238095,0.047619048,0.142857143,138,389,221,26,24,116,0,122,86,0
180solutions,44,17,9.727272727,0,272.1363636,1667,37.88636364,11974,272.1363636,0,3807,3077,47,695,793,109,655,126,182,269,48,91,48,0.028004667,0.053092182,0.028004667,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.090909091,0.045454545,0.136363636,138,389,221,26,24,116,0,122,86,0
180solutions,44,17,9.340909091,0,392.2954545,1658,37.68181818,17261,392.2954545,0,9195,3034,47,695,756,109,652,126,182,269,47,90,47,0.027614571,0.052878966,0.027614571,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.090909091,0.045454545,0.136363636,138,389,221,26,24,116,0,122,86,0
180solutions,42,16,9.476190476,0,585.2619048,1567,37.30952381,24581,585.2619048,0,16822,2930,45,685,745,106,610,119,177,256,46,88,46,0.028714107,0.054931336,0.028714107,3,3,18,1.0,1,0,1,1,5,3,7,0.023255814,0.0,0.023255814,0.023255814,0.11627907,0.069767442,0.162790698,138,389,221,26,24,116,0,121,86,0
180solutions,41,16,9.365853659,0,699.9756098,1534,37.41463415,28699,699.9756098,0,21074,2880,44,681,731,104,604,116,176,248,46,86,46,0.029543995,0.055234425,0.029543995,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.097560976,0.048780488,0.146341463,138,389,221,26,24,116,0,119,86,0
180solutions,41,16,9.463414634,0,815.6829268,1535,37.43902439,33443,815.6829268,0,25797,2883,44,681,744,104,604,116,176,251,46,86,46,0.02962009,0.05537669,0.02962009,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.097560976,0.048780488,0.146341463,138,389,221,26,24,116,0,119,86,0
180solutions,41,16,9.634146341,0,894.7317073,1543,37.63414634,36684,894.7317073,0,28953,2910,44,704,766,104,610,116,177,254,46,86,46,0.02946829,0.055092889,0.02946829,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.097560976,0.048780488,0.146341463,138,389,221,26,24,116,0,119,86,0
180solutions,41,16,9.56097561,0,959.9268293,1544,37.65853659,39357,959.9268293,0,31646,2901,44,704,764,104,610,116,177,254,46,86,46,0.029487179,0.055128205,0.029487179,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.097560976,0.048780488,0.146341463,138,389,221,26,24,116,0,119,86,0
180solutions,32,13,12.25,0,191.875,1169,36.53125,6140,191.875,0,562,1915,33,428,651,81,406,92,87,186,35,66,35,0.029093932,0.054862843,0.029093932,2,2,12,1.0,3,0,3,3,7,5,8,0.085714286,0.0,0.085714286,0.085714286,0.2,0.142857143,0.228571429,137,385,220,26,23,114,0,115,88,0
180solutions,37,15,10.43243243,0,215.6216216,1468,39.67567568,7978,215.6216216,0,612,2804,40,664,672,91,631,113,153,223,43,79,43,0.028476821,0.052317881,0.028476821,3,3,18,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.108108108,0.054054054,0.135135135,138,389,221,26,24,116,0,118,88,0
180solutions,32,13,12.25,0,192.9375,1171,36.59375,6174,192.9375,0,563,1935,33,436,654,81,406,92,87,186,36,67,36,0.029850746,0.055555556,0.029850746,2,2,12,1.0,1,0,1,1,5,3,6,0.03030303,0.0,0.03030303,0.03030303,0.151515152,0.090909091,0.181818182,137,385,220,26,23,114,0,115,88,0
180solutions,32,13,10.6875,0,184.75,1171,36.59375,5912,184.75,0,553,1865,33,436,558,81,406,92,87,186,36,67,36,0.029850746,0.055555556,0.029850746,2,2,12,1.0,1,0,1,1,5,3,6,0.03030303,0.0,0.03030303,0.03030303,0.151515152,0.090909091,0.181818182,137,385,220,26,23,114,0,115,88,0
180solutions,32,13,10.34375,0,182.59375,1171,36.59375,5843,182.59375,0,553,1844,33,436,525,81,406,92,87,186,36,67,36,0.029850746,0.055555556,0.029850746,2,2,12,1.0,1,0,1,1,5,3,6,0.03030303,0.0,0.03030303,0.03030303,0.151515152,0.090909091,0.181818182,137,385,220,26,23,114,0,115,88,0
